declarationType,incidentType,disasterName,disasterNumber,incidentBeginDate,incidentEndDate,stateCode,stateName
Major Disaster,Hurricane,HURRICANE MARIA,4340,2017-09-16,2017-09-22,VI,Virgin Islands of the U.S.    
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS",4325,2017-06-12,2017-06-17,NE,Nebraska                      
Major Disaster,Severe Storm(s),SEVERE STORM AND FLOODING,4354,2017-10-29,2017-11-01,ME,Maine                         
Major Disaster,Hurricane,HURRICANE IRMA,4337,2017-09-04,2017-10-18,FL,Florida                       
Major Disaster,Snow,"SEVERE WINTER STORM, SNOWSTORM, STRAIGHT-LINE WINDS, AND FLOODING",4319,2017-04-28,2017-05-03,KS,Kansas                        
Major Disaster,Tornado,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS",4300,2017-02-07,2017-02-07,LA,Louisiana                     
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS",4294,2017-01-02,2017-01-02,GA,Georgia                       
Major Disaster,Flood,SEVERE STORMS AND FLOODING,4274,2016-06-11,2016-06-13,OK,Oklahoma                      
Major Disaster,Flood,SEVERE STORMS AND FLOODING,4290,2016-09-21,2016-09-24,MN,Minnesota                     
Major Disaster,Flood,SEVERE STORMS AND FLOODING ,4269,2016-04-17,2016-04-30,TX,Texas                         
Emergency,Hurricane,HURRICANE MATTHEW,3378,2016-10-04,2016-10-30,SC,South Carolina                
Major Disaster,Flood,SEVERE STORM AND FLOODING,4279,2016-07-30,2016-07-31,MD,Maryland                      
Major Disaster,Hurricane,HURRICANE MATTHEW,4285,2016-10-04,2016-10-24,NC,North Carolina                
Major Disaster,Severe Storm(s),SEVERE WINTER STORM AND SNOWSTORM,4264,2016-01-22,2016-01-24,NJ,New Jersey                    
Major Disaster,Severe Storm(s),SEVERE WINDSTORM,4242,2015-08-29,2015-08-29,WA,Washington                    
Major Disaster,Hurricane,HURRICANE MATTHEW,4283,2016-10-03,2016-10-19,FL,Florida                       
