declarationType,incidentType,disasterName,disasterNumber,incidentBeginDate,incidentEndDate,stateCode,stateName
Fire Suppression,Fire,WA - DEER POINT FIRE - 07/20/02,2449,2002-07-20,2002-07-27,WA,Washington                    
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1428,2002-06-05,2002-06-13,VT,Vermont                       
Fire Suppression,Fire,NV - GONDOLA FIRE - 07/03/2002,2438,2002-07-03,2002-07-09,NV,Nevada                        
Fire Suppression,Fire,ND - AGAIN FIRE - 06/29/2002,2435,2002-06-29,2002-07-03,ND,North Dakota                  
Fire Suppression,Fire,UT - MUSTANG FIRE - 07/01/2002,2437,2002-06-30,2002-07-05,UT,Utah                          
Fire Suppression,Fire,CO-WILEY RIDGE FIRE-06/23/02,2431,2002-06-23,2002-06-28,CO,Colorado                      
Fire Suppression,Fire,WY - REESE MOUNTAIN FIRE - 07/01/02,2436,2002-06-29,2002-07-12,WY,Wyoming                       
Fire Suppression,Fire,GRIZZLY GULCH FIRE,2434,2002-06-29,2002-07-17,SD,South Dakota                  
Major Disaster,Flood,SEVERE STORMS AND FLOODING,1420,2002-06-03,2002-06-25,IA,Iowa                          
Major Disaster,Fire,WILDFIRES,1421,2002-04-23,2002-08-06,CO,Colorado                      
Major Disaster,Fire,WILDFIRES,1422,2002-06-18,2002-07-07,AZ,Arizona                       
Fire Suppression,Fire,NM - ROYBAL FIRE - 06/13/02,2424,2002-06-13,2002-07-12,NM,New Mexico                    
Major Disaster,Severe Storm(s),"SEVERE STORMS, FLOODING AND TORNADOES",1419,2002-06-09,2002-06-28,MN,Minnesota                     
Fire Suppression,Fire,LOUISIANA FIRE,2433,2002-06-26,2002-06-30,CA,California                    
Fire Suppression,Fire,VALLEY FIRE,2432,2002-06-25,2002-08-09,CO,Colorado                      
Fire Suppression,Fire,MILLION FIRE,2428,2002-06-19,2002-08-03,CO,Colorado                      
Fire Suppression,Fire,AZ - CHEDISKI FARMS FIRE - 06/21/2002,2430,2002-06-20,2002-07-07,AZ,Arizona                       
Fire Management,Fire,SC-LEGENDS FIRE,2426,2002-06-17,2002-06-24,SC,South Carolina                
Fire Suppression,Fire,CO - DIERICH FIRE - 06/10/02,2422,2002-06-09,2002-06-18,CO,Colorado                      
Fire Suppression,Fire,BLUECUT FIRE,2425,2002-06-16,2002-06-22,CA,California                    
Fire Suppression,Fire,CO - HAYMEN FIRE - 06/09/02,2421,2002-06-08,2002-07-20,CO,Colorado                      
Fire Suppression,Fire,CO - SCHOONOVER FIRE - 05/23/02,2407,2002-05-21,2002-05-29,CO,Colorado                      
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, AND FLOODING",1411,2002-04-28,2002-05-03,VA,Virginia                      
Major Disaster,Severe Ice Storm,SEVERE WINTER ICE STORM,1402,2002-01-29,2002-02-15,KS,Kansas                        
Fire Suppression,Fire,VA - HEARD MOUNTAIN FIRE COMPLEX - 11/20/2001,2394,2001-11-19,2001-12-09,VA,Virginia                      
Fire Suppression,Fire,IRON MOUNTAIN FIRE,2410,2002-06-02,2002-06-10,CO,Colorado                      
Fire Suppression,Fire,NM - DALTON FIRE - 05/06/02,2404,2002-05-06,2002-05-17,NM,New Mexico                    
Major Disaster,Severe Storm(s),SEVERE WINTER STORM WITH HIGH WINDS,1405,2002-02-07,2002-02-08,OR,Oregon                        
Major Disaster,Severe Storm(s),SEVERE STORMS AND TORNADOES,1399,2001-11-24,2001-11-25,AL,Alabama                       
Fire Suppression,Fire,WY-HENSEL FIRE-06/07/02 ,2427,2002-06-18,2002-07-07,WY,Wyoming                       
Fire Suppression,Fire,NJ - DOUBLE TROUBLE WILDFIRE - 6/02/02,2411,2002-06-02,2002-06-02,NJ,New Jersey                    
Fire Suppression,Fire,NM-KOKOPELLI FIRE COMPLEX-3-23-02,2398,2002-03-23,2002-04-01,NM,New Mexico                    
Fire Suppression,Fire,NM-CERRO PELADO-6-2-02,2415,2002-06-02,2002-07-03,NM,New Mexico                    
Fire Suppression,Fire,CO - SNAKING FIRE - 4/23/2002,2399,2002-04-23,2002-04-29,CO,Colorado                      
Fire Suppression,Fire,RODEO FIRE,2429,2002-06-18,2002-07-07,AZ,Arizona                       
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES AND FLOODING",1414,2002-04-27,2002-05-10,KY,Kentucky                      
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES AND FLOODING",1398,2001-11-24,2001-12-17,MS,Mississippi                   
Major Disaster,Tornado,"SEVERE STORMS, TORNADOES AND FLOODING",1416,2002-04-21,2002-05-23,IL,Illinois                      
Major Disaster,Severe Ice Storm,SEVERE WINTER ICE STORM,1403,2002-01-29,2002-02-13,MO,Missouri                      
Fire Suppression,Fire,MISSIONARY RIDGE FIRE,2423,2002-06-09,2002-08-09,CO,Colorado                      
Fire Suppression,Fire,NM-PONIL FIRE-06/02/02,2416,2002-06-02,2002-06-16,NM,New Mexico                    
Fire Suppression,Fire,AZ-RYAN-WILDFIRE-4/30/2002,2400,2002-04-29,2002-05-08,AZ,Arizona                       
Fire Suppression,Fire,NV WILDFIRE (PIOCHE) 06-08-2002,2420,2002-06-08,2002-06-12,NV,Nevada                        
Major Disaster,Severe Storm(s),"SEVERE STORMS, FLOODING AND LANDSLIDES",1410,2002-05-02,2002-05-20,WV,West Virginia                 
Major Disaster,Flood,FLOODING,1423,2002-04-27,2002-05-30,AK,Alaska                        
Fire Suppression,Fire,UTE PASS FIRE,2418,2002-06-06,2002-06-10,CO,Colorado                      
Fire Suppression,Fire,CO - JAMES JOHN / FISHER - 06/03/02,2413,2002-06-02,2002-06-26,CO,Colorado                      
Fire Suppression,Fire,NM - PENASCO FIRE - 05-01-02,2402,2002-04-30,2002-06-03,NM,New Mexico                    
Fire Suppression,Fire,AZ - INDIAN FIRE - 5/15/2002,2406,2002-05-15,2002-05-18,AZ,Arizona                       
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES AND FLOODING",1418,2002-04-28,2002-06-07,IN,Indiana                       
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1400,2001-12-15,2002-01-30,AR,Arkansas                      
Major Disaster,Flood,FLOODING,1413,2002-04-10,2002-05-09,MI,Michigan                      
Major Disaster,Earthquake,EARTHQUAKE,1397,2001-10-13,2001-10-13,GU,Guam                          
Fire Suppression,Fire,MN - BY-PASS FIRE - 05/31/2002,2409,2002-05-31,2002-06-04,MN,Minnesota                     
Fire Suppression,Fire,BLACK MOUNTAIN FIRE,2403,2002-05-05,2002-05-12,CO,Colorado                      
Major Disaster,Snow,SEVERE WINTER STORM,1404,2001-12-24,2001-12-29,NY,New York                      
Fire Suppression,Fire,AL - NORTH EAST ALABAMA FIRE COMPLEX - 11/20/2001,2395,2001-11-20,2001-11-23,AL,Alabama                       
Fire Suppression,Fire,NM - BORREGO FIRE - 5-23-02,2408,2002-05-22,2002-06-10,NM,New Mexico                    
Major Disaster,Typhoon,TYPHOON MITAG,1417,2002-02-26,2002-03-03,FM,Federated States of Micronesia
Fire Suppression,Fire,GAVILAN FIRE,2396,2002-02-10,2002-02-15,CA,California                    
Fire Suppression,Fire,VA - FULTZ RUN FIRE - 02-28-2002,2397,2002-02-27,2002-03-02,VA,Virginia                      
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES AND FLOODING",1412,2002-04-24,2002-06-10,MO,Missouri                      
Fire Suppression,Fire,NM-TURKEY FIRE-6-2-02,2414,2002-06-02,2002-07-14,NM,New Mexico                    
Major Disaster,Severe Storm(s),"SEVERE STORMS, FLOODING, MUDSLIDES AND LANDSLIDES",1396,2001-11-07,2001-11-09,PR,Puerto Rico                   
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1408,2002-01-23,2002-03-20,TN,Tennessee                     
Major Disaster,Earthquake,EARTHQUAKE,1415,2002-04-20,2002-04-20,NY,New York                      
Fire Suppression,Fire,CO - SPRING FIRE - 06/03/02,2412,2002-06-02,2002-06-26,CO,Colorado                      
Major Disaster,Severe Ice Storm,SEVERE WINTER ICE STORM,1401,2002-01-30,2002-02-11,OK,Oklahoma                      
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1406,2002-03-17,2002-03-20,VA,Virginia                      
Fire Suppression,Fire,ANTONIO FIRE,2405,2002-05-13,2002-05-15,CA,California                    
Emergency,Snow,SNOW,3170,2001-12-24,2001-12-29,NY,New York                      
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1407,2002-03-17,2002-03-21,KY,Kentucky                      
Fire Suppression,Fire,COAL SEAM FIRE,2419,2002-06-08,2002-06-29,CO,Colorado                      
Major Disaster,Tornado,TORNADO,1409,2002-04-28,2002-04-28,MD,Maryland                      
Fire Suppression,Fire,CA - COPPER FIRE - 06-06-2002,2417,2002-06-05,2002-06-14,CA,California                    
Fire Suppression,Fire,CUERNO VERDE FIRE,2401,2002-04-30,2002-05-05,CO,Colorado                      
Fire Suppression,Fire,WV - TROUGH AND SMOKE HOLE FIRE COMPLEX - 11/16/2001,2392,2001-11-16,2001-11-30,WV,West Virginia                 
Emergency,Fire,FIRES AND EXPLOSIONS,3168,2001-09-11,2001-09-11,VA,Virginia                      
Fire Suppression,Fire,TN - CHATTANOOGA FIRE COMPLEX - 11/03/01,2387,2001-11-03,,TN,Tennessee                     
Major Disaster,Coastal Storm,"SEVERE STORMS, TORNADOES AND FLOODING ASSOCIATED WITH TROPICAL STORM GABRIELLE",1393,2001-09-13,2001-09-21,FL,Florida                       
Major Disaster,Severe Storm(s),"SEVERE STORMS, FLOODING, AND TORNADOES",1395,2001-10-09,2001-10-10,OK,Oklahoma                      
Fire Suppression,Fire,WY - MCFARLAND DIVIDE FIRE - 09/06/01,2382,2001-09-05,2001-09-08,WY,Wyoming                       
Fire Suppression,Fire,VA - FAR SOUTHWEST FIRE COMPLEX - 11/16/2001,2390,2001-11-14,2001-12-09,VA,Virginia                      
Fire Suppression,Fire,KY - SOUTHEASTERN FIRE COMPLEX - 11/02/01,2385,2001-11-02,,KY,Kentucky                      
Fire Suppression,Fire,TN - RIDGE CREST FIRE - 11/14/2001,2389,2001-11-12,,TN,Tennessee                     
Fire Suppression,Fire,KY - KENTUCKY RIVER COMPLEX - 11/02/01,2384,2001-11-02,,KY,Kentucky                      
Fire Suppression,Fire,WV - SOUTHEAST FIRE COMPLEX - 11/16/2001,2391,2001-11-16,2001-11-30,WV,West Virginia                 
Major Disaster,Terrorist,FIRES AND EXPLOSIONS,1392,2001-09-11,2001-09-11,VA,Virginia                      
Major Disaster,Severe Storm(s),SEVERE STORMS AND A TORNADO,1394,2001-08-17,2001-08-18,NE,Nebraska                      
Fire Suppression,Fire,KY - EASTERN FIRE COMPLEX - 11/02/2001,2386,2001-11-02,2001-11-21,KY,Kentucky                      
Fire Suppression,Fire,WA BREWSTER FIRE COMPLEX 2373,2373,2001-08-13,2001-08-21,WA,Washington                    
Fire Suppression,Fire,OR MONUMENT COMPLEX 2380,2380,2001-08-17,2001-08-22,OR,Oregon                        
Major Disaster,Severe Storm(s),"SEVERE WINTER STORMS, FLOODING AND TORNADOES",1373,2001-04-10,2001-04-23,NE,Nebraska                      
Major Disaster,Coastal Storm,TROPICAL STORM ALLISON,1380,2001-06-05,2001-06-22,LA,Louisiana                     
Fire Suppression,Fire,NV - ANTELOPE FIRE - 08/09/2001,2371,2001-08-09,,NV,Nevada                        
Fire Suppression,Fire,WA - MT LEONA FIRE COMPLEX - 2378,2378,2001-08-16,2001-08-25,WA,Washington                    
Fire Suppression,Fire,FL - ESCAMBIA FIRE COMPLEX - 05/16/01,2361,2001-05-15,,FL,Florida                       
Fire Suppression,Fire,NM -TRAP AND SKEET FIRE - 06/02/2001,2364,2001-06-02,2001-06-03,NM,New Mexico                    
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1390,2001-07-17,2001-07-18,OH,Ohio                          
Fire Suppression,Fire,WA - UNION VALLEY FIRE - 07/28/01,2368,2001-07-28,2001-08-04,WA,Washington                    
Fire Suppression,Fire,AK - RED FOX FIRE - 06/30/01,2365,2001-06-29,2001-07-03,AK,Alaska                        
Fire Suppression,Fire,FL - EVERGLADES FIRE COMPLEX - 04/25/01,2359,2001-04-17,,FL,Florida                       
Major Disaster,Severe Storm(s),TROPICAL STORM ALLISON,1382,2001-06-06,2001-06-13,MS,Mississippi                   
Major Disaster,Severe Storm(s),"SEVERE STORMS, FLOODING AND MUDSLIDES",1389,2001-08-10,2001-08-12,DC,District of Columbia          
Fire Suppression,Fire,FL - CHIPOLA RIVER FIRE COMPLEX - 05/15/01,2360,2001-05-14,2001-05-14,FL,Florida                       
Major Disaster,Flood,"SEVERE STORMS, FLOODING, & GROUND SATURATION",1376,2001-03-01,2001-08-09,ND,North Dakota                  
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1386,2001-07-08,2001-08-27,VA,Virginia                      
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1388,2001-07-27,2001-08-21,KY,Kentucky                      
Major Disaster,Flood,FLOODING,1368,2001-04-18,2001-05-29,IL,Illinois                      
Fire Suppression,Fire,GA - BLOUNTS PASTURE FIRE,2362,2001-05-17,,GA,Georgia                       
Fire Suppression,Fire,WA SPRUCE DOME FIRE COMPLEX 2377,2377,2001-08-15,2001-08-23,WA,Washington                    
Major Disaster,Severe Storm(s),SEVERE WINTER STORMS,1385,2001-06-03,2001-06-14,MT,Montana                       
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES AND FLOODING",1367,2001-04-08,2001-05-29,IA,Iowa                          
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1387,2001-07-27,2001-08-22,TN,Tennessee                     
Major Disaster,Fire,FIRES AND EXPLOSIONS,1391,2001-09-11,2001-09-11,NY,New York                      
Major Disaster,Severe Storm(s),SEVERE WINTER STORMS,1374,2001-04-11,2001-04-22,CO,Colorado                      
Major Disaster,Severe Storm(s),"SEVERE STORMS, FLOODING, AND TORNADOES",1384,2001-05-27,2001-05-30,OK,Oklahoma                      
Fire Suppression,Fire,CO - ARMAGEDDON FIRE - 11/01/01,2383,2001-10-31,2001-11-03,CO,Colorado                      
Fire Suppression,Fire,FL - MYAKKA COMPLEX FIRE,2358,2001-04-17,,FL,Florida                       
Fire Suppression,Fire,WA - VIRGINIA LAKES COMPLEX - 2372,2372,2001-08-13,2001-08-29,WA,Washington                    
Major Disaster,Severe Storm(s),TROPICAL STORM ALLISON,1383,2001-06-15,2001-06-23,PA,Pennsylvania                  
Major Disaster,Flood,"SEVERE WINTER STORMS, FLOODING, AND TORNADOES",1370,2001-03-23,2001-07-03,MN,Minnesota                     
Fire Suppression,Fire,VA - SHENANDOAH GAP FIRE COMPLEX - 11/20/01,2393,2001-11-19,2001-12-09,VA,Virginia                      
Fire Suppression,Fire,WA - REX CREEK FIRE COMPLEX - 2379,2379,2001-08-13,2001-08-31,WA,Washington                    
Fire Suppression,Fire,WY- ELK MOUNTAIN FIRE COMPLEX - 08/01/01,2370,2001-07-31,2001-08-08,WY,Wyoming                       
Major Disaster,Coastal Storm,TX-TROPICAL STORM ALLISON-06-06-2001,1379,2001-06-05,2001-06-20,TX,Texas                         
Major Disaster,Severe Storm(s),"SEVERE STORMS, FLOODING AND MUDSLIDES",1372,2001-05-06,2001-05-11,PR,Puerto Rico                   
Emergency,Fire,FIRES AND EXPLOSIONS,3169,2001-09-11,2001-09-11,NJ,New Jersey                    
Fire Suppression,Fire,"WY WILDFIRE -GREEN KNOLL- JULY 23, 2001",2367,2001-07-26,2001-08-08,WY,Wyoming                       
Major Disaster,Flood,"FLOODING, SEVERE STORMS AND TORNADOES",1369,2001-04-10,2001-07-06,WI,Wisconsin                     
Major Disaster,Severe Storm(s),"SEVERE STORMS, FLOODING AND LANDSLIDES",1378,2001-05-15,2001-09-04,WV,West Virginia                 
Fire Suppression,Fire,SC - LONG BAY FIRE - 11/09/2001,2388,2001-11-07,2001-11-26,SC,South Carolina                
Fire Suppression,Fire,OR  BRIDGE CREEK FIRES 2375,2375,2001-08-15,2001-08-19,OR,Oregon                        
Fire Suppression,Fire,PERRY FIRE COMPLEX,2363,2001-05-23,,FL,Florida                       
Fire Suppression,Fire,UT - MOLLIE FIRE - 08/19/01,2381,2001-08-18,,UT,Utah                          
Fire Suppression,Fire,WA TONASKET FIRE COMPLEX 2376,2376,2001-08-14,2001-08-29,WA,Washington                    
Major Disaster,Severe Storm(s),TROPICAL STORM ALLISON,1381,2001-06-11,2001-06-15,FL,Florida                       
Major Disaster,Severe Storm(s),SEVERE WINTER STORMS,1377,2001-04-08,2001-04-09,MT,Montana                       
Fire Suppression,Fire,NV - TEN MILE FIRE - 07/05/2001,2366,2001-07-05,2001-07-05,NV,Nevada                        
Fire Suppression,Fire,SD - ELK MOUNTAIN FIRE COMPLEX - 08/01/01,2369,2001-07-30,,SD,South Dakota                  
Major Disaster,Severe Storm(s),"SEVERE STORMS, HAIL, FLOODING AND TORNADOES",1366,2001-04-21,2001-05-01,KS,Kansas                        
Major Disaster,Severe Storm(s),SEVERE WINTER STORMS AND FLOODING,1371,2001-03-05,2001-03-31,ME,Maine                         
Fire Suppression,Fire,WA - ICICLE FIRE COMPLEX - 2374,2374,2001-08-14,2001-08-21,WA,Washington                    
Major Disaster,Flood,"SEVERE WINTER STORMS, FLOODING, AND ICE JAMS",1375,2001-03-01,2001-04-30,SD,South Dakota                  
Emergency,Snow,SNOW,3166,2001-03-05,2001-03-07,NH,New Hampshire                 
Major Disaster,Severe Ice Storm,SEVERE WINTER ICE STORM,1357,2000-12-11,2001-01-03,LA,Louisiana                     
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1362,2001-02-16,2001-02-17,AL,Alabama                       
Fire Suppression,Fire,FL - OKEECHOBEE COMPLEX FIRE,2354,2001-02-19,,FL,Florida                       
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1364,2001-03-05,2001-04-16,MA,Massachusetts                 
Major Disaster,Freezing,SEVERE FREEZE ,1359,2000-12-01,2001-01-25,FL,Florida                       
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1363,2001-02-14,2001-03-21,AR,Arkansas                      
Emergency,Snow,ILLINOIS WINTER SNOW STORMS,3161,2000-12-11,2000-12-31,IL,Illinois                      
Major Disaster,Severe Storm(s),SEVERE STORMS AND TORNADOES,1360,2001-02-16,2001-03-15,MS,Mississippi                   
Fire Suppression,Fire,FL - ORLANDO COMPLEX FIRE,2357,2001-04-16,,FL,Florida                       
Emergency,Snow,SNOW,3164,2001-03-05,2001-03-31,ME,Maine                         
Emergency,Snow,SNOW,3165,2001-03-05,2001-03-07,MA,Massachusetts                 
Emergency,Snow,SNOW,3163,2000-12-11,2000-12-31,WI,Wisconsin                     
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1365,2001-04-03,2001-04-05,MS,Mississippi                   
Major Disaster,Earthquake,EARTHQUAKE,1361,2001-02-28,2001-03-16,WA,Washington                    
Major Disaster,Tornado,SEVERE WINTER STORMS AND TORNADOES,1353,2000-11-01,2000-11-20,ND,North Dakota                  
Fire Suppression,Fire,KY - EASTERN DISTRICT FIRE COMPLEX - 11/03/00,2350,2000-10-30,,KY,Kentucky                      
Fire Suppression,Fire,OK-OAKCLIFF FIRE COMPLEX-9/21/00,2343,2000-09-19,2000-10-02,OK,Oklahoma                      
Fire Suppression,Fire,TX - MESQUITE CREEK FIRE - 09/08/00,2333,2000-09-06,2000-09-08,TX,Texas                         
Major Disaster,Severe Ice Storm,SEVERE WINTER ICE STORM,1355,2000-12-25,2001-01-10,OK,Oklahoma                      
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1348,2000-10-28,2000-11-02,HI,Hawaii                        
Fire Suppression,Fire,OK-BRISTOW FIRE COMPLEX-9/18/00,2342,2000-09-18,2000-09-25,OK,Oklahoma                      
Fire Suppression,Fire,TX - FROST FIRE - 09/08/00,2334,2000-09-06,2000-09-07,TX,Texas                         
Major Disaster,Severe Storm(s),SEVERE WINTER STORM,1351,2000-10-31,2000-11-20,WY,Wyoming                       
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1349,2000-10-21,2000-10-29,OK,Oklahoma                      
Major Disaster,Earthquake,EARTHQUAKE,1342,2000-09-03,2000-09-03,CA,California                    
Fire Suppression,Fire,TX-DEEP CREEK FIRE-9/8/00,2335,2000-09-08,2000-09-13,TX,Texas                         
Major Disaster,Severe Storm(s),SEVERE STORMS AND TORNADOES,1352,2000-12-16,2000-12-22,AL,Alabama                       
Fire Suppression,Fire,FL - CALOOSAHATCHEE FIRE COMPLEX,2355,2001-02-19,,FL,Florida                       
Fire Suppression,Fire,CO - ELDORADO FIRE,2338,2000-09-16,2000-09-20,CO,Colorado                      
Emergency,Snow,SNOW,3160,2000-12-11,2000-12-31,MI,Michigan                      
Emergency,Severe Ice Storm,SEVERE WINTER AND ICE STORM,3158,2000-12-25,2001-01-10,OK,Oklahoma                      
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1345,2000-10-03,2000-10-11,FL,Florida                       
Fire Suppression,Fire,AL - COUNTY LINE FIRE - 09/17/2000,2339,2000-09-15,,AL,Alabama                       
Fire Suppression,Fire,TX - LIVE OAK LOOP FIRE,2325,2000-08-26,2000-08-29,TX,Texas                         
Fire Suppression,Fire,FL - LAKELAND COMPLEX FIRE,2353,2001-02-17,,FL,Florida                       
Emergency,Other,WEST NILE VIRUS,3155,2000-05-22,2000-11-01,NY,New York                      
Fire Suppression,Fire,TX - ALSBURY FIRE - 08/29/00,2351,2000-08-28,2000-09-13,TX,Texas                         
Fire Suppression,Fire,MT - WILLIE FIRE,2326,2000-08-28,,MT,Montana                       
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1346,2000-09-10,2000-09-11,MI,Michigan                      
Major Disaster,Fire,WILDFIRES,1340,2000-07-13,2000-09-25,MT,Montana                       
Emergency,Other,WEST NILE VIRUS,3156,2000-05-30,2000-11-01,NJ,New Jersey                    
Fire Suppression,Fire,TX - MOORE BRANCH FIRE - 09/03/00,2328,2000-09-03,2000-10-04,TX,Texas                         
Fire Suppression,Fire,TN - KNOXVILLE FIRE COMPLEX - 11/02/00,2346,2000-10-30,,TN,Tennessee                     
Fire Suppression,Fire,TX - STANLEY MAINLINE FIRE - 09/04/00,2329,2000-09-04,2000-09-08,TX,Texas                         
Major Disaster,Severe Storm(s),SEVERE STORMS AND TORNADO ,1343,2000-09-20,2000-09-20,OH,Ohio                          
Emergency,Snow,SNOW,3167,2001-03-05,2001-03-07,VT,Vermont                       
Fire Suppression,Fire,TN - COOKEVILLE FIRE COMPLEX - 11/03/00,2347,2000-11-01,,TN,Tennessee                     
Fire Suppression,Fire,TX - SHEPPARD REESE FIRE - 09/04/00,2330,2000-09-04,2000-09-05,TX,Texas                         
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1358,2000-12-16,2000-12-18,VT,Vermont                       
Fire Suppression,Fire,TX - AMHURST STREET FIRE - 09/04/00,2352,2000-09-04,2000-09-05,TX,Texas                         
Emergency,Snow,SNOW,3157,2000-11-19,2000-11-21,NY,New York                      
Fire Suppression,Fire,TX - QUAIL RUN FIRE - 10/03/00,2344,2000-10-02,2000-10-03,TX,Texas                         
Fire Suppression,Fire,TX-MILAM STREET FIRE-9/9/00,2336,2000-09-09,2000-09-10,TX,Texas                         
Emergency,Snow,SNOW,3162,2000-12-11,2000-12-31,IN,Indiana                       
Major Disaster,Severe Ice Storm,SEVERE WINTER ICE STORM,1354,2000-12-12,2001-01-08,AR,Arkansas                      
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1347,2000-10-21,2000-11-08,AZ,Arizona                       
Fire Suppression,Fire,OK-ARBUCKLE FIRE COMPLEX-9/18/00,2341,2000-09-18,2000-10-05,OK,Oklahoma                      
Major Disaster,Fire,WILDFIRES,1341,2000-07-27,2000-09-26,ID,Idaho                         
Fire Suppression,Fire,TN-GREENEVILLE FIRE COMPLEX-11/03/00,2348,2000-10-30,,TN,Tennessee                     
Fire Suppression,Fire,MN - CARLOS EDGE FIRE COMPLEX - 10/19/2000,2345,2000-10-19,2000-11-02,MN,Minnesota                     
Fire Suppression,Fire,TX - PEACH CREEK FIRE - 09/04/00,2331,2000-09-04,2000-09-09,TX,Texas                         
Fire Suppression,Fire,TX - RANGER HILL FIRE - 8/30/00,2327,2000-08-30,2000-09-13,TX,Texas                         
Major Disaster,Severe Storm(s),SEVERE WINTER STORMS,1350,2000-10-31,2000-11-20,MT,Montana                       
Fire Suppression,Fire,KY - SOUTHEASTERN DISTRICT FIRE COMPLEX - 11/03/00,2349,2000-10-30,,KY,Kentucky                      
Fire Suppression,Fire,LA-WESTERN LOUISIANA FIRE COMPLEX-9/8/00,2337,2000-09-08,2000-09-22,LA,Louisiana                     
Fire Suppression,Fire,TX - WARREN CHAPEL FIRE - 09/04/00,2332,2000-09-04,2000-09-07,TX,Texas                         
Emergency,Severe Ice Storm,SEVERE WINTER ICE STORM,3159,2000-12-12,2001-01-08,AR,Arkansas                      
Fire Suppression,Fire,TX-PINE COVE FIRE-9/18/00,2340,2000-09-17,2000-09-18,TX,Texas                         
Major Disaster,Severe Ice Storm,SEVERE WINTER ICE STORM,1356,2000-12-12,2001-01-15,TX,Texas                         
Major Disaster,Severe Storm(s),TROPICAL STORM HELENE ,1344,2000-09-21,2000-10-04,FL,Florida                       
Fire Suppression,Fire,SD JASPER FIRE IR #3,2324,2000-08-24,,SD,South Dakota                  
Major Disaster,Severe Storm(s),SEVERE THUNDERSTORMS,1338,2000-08-07,2000-08-07,DC,District of Columbia          
Fire Suppression,Fire,MT - CENTRAL ZONE 3C FIRE COMPLEX,2318,2000-08-08,,MT,Montana                       
Fire Suppression,Fire,NV - ARROWCREEK FIRE,2316,2000-08-01,2000-08-05,NV,Nevada                        
Fire Suppression,Fire,MT - CENTRAL ZONE 3B FIRE COMPLEX,2314,2000-07-24,,MT,Montana                       
Fire Suppression,Fire,MT - SOUTH CENTRAL ZONE 4 FIRE COMPLEX,2321,2000-08-16,,MT,Montana                       
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1335,2000-05-03,2000-08-12,NY,New York                      
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1333,2000-05-17,2000-07-26,MN,Minnesota                     
Fire Suppression,Fire,WA - MULE DRY FIRE - 2000,2323,2000-08-23,2000-08-27,WA,Washington                    
Fire Suppression,Fire,TX-CHICKEN FIRE-0823-00,2322,2000-08-23,2000-10-09,TX,Texas                         
Fire Suppression,Fire,FLAGPOLE FIRE COMPLEX,2319,2000-08-11,2000-08-20,SD,South Dakota                  
Fire Suppression,Fire,MT - NORTHWESTERN ZONE 1 FIRE COMPLEX,2320,2000-08-14,,MT,Montana                       
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1336,2000-07-14,2000-07-18,VT,Vermont                       
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1339,2000-07-29,2000-08-02,OH,Ohio                          
Fire Suppression,Fire,WY - DEAD HORSE FIRE,2315,2000-07-30,2000-08-03,WY,Wyoming                       
Fire Suppression,Fire,FL - MERRITT FIRE,2294,2000-04-11,,FL,Florida                       
Emergency,Fire,SEVERE FIRE THREATS,3154,2000-05-05,2000-07-07,NM,New Mexico                    
Major Disaster,Hurricane,HURRICANE LENNY MAJOR DECLARATION,1309,1999-11-17,1999-11-20,VI,Virgin Islands of the U.S.    
Major Disaster,Tornado,"TORNADOES, SEVERE STORMS, TORRENTIAL RAINS, AND FLASH FLOODING",1310,2000-01-03,2000-01-04,KY,Kentucky                      
